id	SNR	n_genes	n_samples	genes	samples	direction	genes_up	genes_down	gene_indexes	sample_indexes
121	1.523604282127836	6	9	ENSG00000138316|ADAMTS14 ENSG00000141404|GNAL ENSG00000179841|AKAP5 ENSG00000197057|DTHD1 ENSG00000237484|LINC01684 ENSG00000279092|ENSG00000279092	healthy-6667-p_49 pah-6803-p_50 pah-6858-p_7 pah-6872-p_4 pah-6942-p_9 ph-lung-6754-p_20 ph-lung-6755-p_1 ph-lung-6949-p_66 ph-lung-6952-p_36	UP	ENSG00000138316|ADAMTS14 ENSG00000141404|GNAL ENSG00000179841|AKAP5 ENSG00000197057|DTHD1 ENSG00000237484|LINC01684 ENSG00000279092|ENSG00000279092		8544 11063 11685 13770 14890 15563	2 16 17 27 30 39 40 46 47
122	1.519460613311615	9	19	ENSG00000079931|MOXD1 ENSG00000139044|B4GALNT3 ENSG00000162373|BEND5 ENSG00000165061|ZMAT4 ENSG00000197705|KLHL14 ENSG00000197888|UGT2B17 ENSG00000215030|RPL13P12 ENSG00000232677|LINC00665 ENSG00000245149|RNF139-DT	healthy-6620-p_6 healthy-6658-p_22 healthy-6667-p_49 healthy-6743-p_63 healthy-6818-p_59 healthy-6884-p_64 healthy-6935-p_54 healthy-6960-p_32 pah-6608-p_16 pah-6634-p_28 pah-6858-p_7 pah-6904-p_25 pah-6942-p_9 ph-lung-6678-p_42 ph-lung-6748-p_43 ph-lung-6825-p_52 ph-lung-6898-p_8 ph-lung-6912-p_65 ph-lung-6949-p_66	UP	ENSG00000079931|MOXD1 ENSG00000139044|B4GALNT3 ENSG00000162373|BEND5 ENSG00000165061|ZMAT4 ENSG00000197705|KLHL14 ENSG00000197888|UGT2B17 ENSG00000215030|RPL13P12 ENSG00000232677|LINC00665 ENSG00000245149|RNF139-DT		10426 11567 11669 11852 12330 12832 15835 15965 16071	0 2 3 5 6 8 10 11 12 17 22 29 30 33 36 37 42 44 46
123	1.5178471540414835	14	23	ENSG00000013392|RWDD2A ENSG00000106608|URGCP ENSG00000117262|GPR89A ENSG00000127080|IPPK ENSG00000152475|ZNF837 ENSG00000173801|JUP ENSG00000174684|B4GAT1 ENSG00000177337|DLGAP1-AS1 ENSG00000187792|ZNF70 ENSG00000198521|ZNF43 ENSG00000234665|LERFS ENSG00000236935|ENSG00000236935 ENSG00000256633|PDE2A-AS2 ENSG00000290548|ENSG00000290548	healthy-6655-p_27 healthy-6667-p_49 healthy-6743-p_63 healthy-6818-p_59 healthy-6884-p_64 healthy-6935-p_54 pah-6660-p_13 pah-6712-p_17 pah-6858-p_7 pah-6904-p_25 pah-6922-p_35 pah-6942-p_9 pah-6958-p_40 ph-lung-6747-p_46 ph-lung-6748-p_43 ph-lung-6755-p_1 ph-lung-6822-p_18 ph-lung-6885-p_58 ph-lung-6898-p_8 ph-lung-6912-p_65 ph-lung-6949-p_66 ph-lung-6952-p_36 ph-lung-6980-p_26	UP	ENSG00000013392|RWDD2A ENSG00000106608|URGCP ENSG00000117262|GPR89A ENSG00000127080|IPPK ENSG00000152475|ZNF837 ENSG00000173801|JUP ENSG00000174684|B4GAT1 ENSG00000177337|DLGAP1-AS1 ENSG00000187792|ZNF70 ENSG00000198521|ZNF43 ENSG00000234665|LERFS ENSG00000236935|ENSG00000236935 ENSG00000256633|PDE2A-AS2 ENSG00000290548|ENSG00000290548		4721 5095 8043 8963 10921 10943 10957 11251 12154 12247 12723 12824 12896 15718	1 2 3 5 10 11 14 15 17 20 21 29 30 32 33 37 40 41 43 44 46 47 49
124	1.511001767817065	2	4	ENSG00000273702|ENSG00000273702 ENSG00000291046|ENSG00000291046	healthy-6620-p_6 healthy-6935-p_54 pah-6660-p_13 ph-lung-6976-p_12	UP	ENSG00000273702|ENSG00000273702 ENSG00000291046|ENSG00000291046		14091 14978	0 5 14 48
125	1.5041344257535005	8	6	ENSG00000112164|GLP1R ENSG00000121716|PILRB ENSG00000146918|NCAPG2 ENSG00000198502|HLA-DRB5 ENSG00000213671|OLA1P2 ENSG00000259065|MIDEAS-AS1 ENSG00000262663|ENSG00000262663 ENSG00000290007|ENSG00000290007	healthy-6667-p_49 healthy-6818-p_59 pah-6942-p_9 ph-lung-6678-p_42 ph-lung-6747-p_46 ph-lung-6885-p_58	UP	ENSG00000112164|GLP1R ENSG00000121716|PILRB ENSG00000146918|NCAPG2 ENSG00000198502|HLA-DRB5 ENSG00000213671|OLA1P2 ENSG00000259065|MIDEAS-AS1 ENSG00000262663|ENSG00000262663 ENSG00000290007|ENSG00000290007		4668 6561 8845 12784 14316 14515 16101 16110	2 3 30 32 36 43
126	1.492470963239198	4	20	ENSG00000074181|NOTCH3 ENSG00000112473|SLC39A7 ENSG00000159363|ATP13A2 ENSG00000218283|MORF4L1P1	healthy-6620-p_6 healthy-6688-p_56 healthy-6968-p_15 pah-6608-p_16 pah-6637-p_41 pah-6691-p_23 pah-6712-p_17 pah-6744-p_2 pah-6824-p_34 pah-6872-p_4 pah-6875-p_60 pah-6890-p_47 pah-6942-p_9 pah-6958-p_40 ph-lung-6649-p_33 ph-lung-6662-p_55 ph-lung-6689-p_29 ph-lung-6748-p_43 ph-lung-6949-p_66 ph-lung-6980-p_26	UP	ENSG00000074181|NOTCH3 ENSG00000112473|SLC39A7 ENSG00000159363|ATP13A2 ENSG00000218283|MORF4L1P1		2671 2720 13235 14741	0 7 9 12 13 15 19 21 23 24 26 27 28 30 31 34 35 37 46 49
127	1.4763547249801956	2	12	ENSG00000158525|CPA5 ENSG00000162437|RAVER2	healthy-6819-p_19 pah-6637-p_41 pah-6751-p_24 pah-6863-p_3 pah-6904-p_25 pah-6942-p_9 pah-6958-p_40 ph-lung-6689-p_29 ph-lung-6749-p_57 ph-lung-6822-p_18 ph-lung-6885-p_58 ph-lung-6949-p_66	UP	ENSG00000158525|CPA5 ENSG00000162437|RAVER2		11126 14917	4 13 18 21 25 29 30 31 38 41 43 46
128	1.4723346468995877	9	21	ENSG00000067840|PDZD4 ENSG00000106799|TGFBR1 ENSG00000144136|SLC20A1 ENSG00000150938|CRIM1 ENSG00000158555|GDPD5 ENSG00000160221|GATD3 ENSG00000178234|GALNT11 ENSG00000205336|ADGRG1 ENSG00000211805|TRAV24	healthy-6658-p_22 healthy-6688-p_56 healthy-6884-p_64 healthy-6935-p_54 healthy-6968-p_15 pah-6637-p_41 pah-6660-p_13 pah-6691-p_23 pah-6803-p_50 pah-6858-p_7 pah-6872-p_4 pah-6942-p_9 ph-lung-6689-p_29 ph-lung-6747-p_46 ph-lung-6749-p_57 ph-lung-6754-p_20 ph-lung-6755-p_1 ph-lung-6949-p_66 ph-lung-6952-p_36 ph-lung-6976-p_12 ph-lung-6980-p_26	UP	ENSG00000067840|PDZD4 ENSG00000106799|TGFBR1 ENSG00000144136|SLC20A1 ENSG00000150938|CRIM1 ENSG00000158555|GDPD5 ENSG00000160221|GATD3 ENSG00000178234|GALNT11 ENSG00000205336|ADGRG1 ENSG00000211805|TRAV24		470 1333 1574 1879 2922 4964 10514 13804 14581	5 7 8 9 11 13 14 16 17 23 27 30 31 32 38 39 40 46 47 48 49
129	1.4720671907311127	2	14	ENSG00000154025|SLC5A10 ENSG00000276566|IGKV1D-13	healthy-6620-p_6 healthy-6688-p_56 healthy-6818-p_59 healthy-6819-p_19 healthy-6935-p_54 pah-6634-p_28 pah-6660-p_13 pah-6744-p_2 pah-6872-p_4 pah-6890-p_47 ph-lung-6755-p_1 ph-lung-6822-p_18 ph-lung-6932-p_21 ph-lung-6949-p_66	UP	ENSG00000154025|SLC5A10 ENSG00000276566|IGKV1D-13		14764 16132	0 3 4 5 9 14 19 22 24 27 40 41 45 46
130	1.4523390439801585	5	15	ENSG00000043591|ADRB1 ENSG00000060709|RIMBP2 ENSG00000136932|TRMO ENSG00000229358|DPY19L1P1 ENSG00000281332|LINC00997	healthy-6620-p_6 healthy-6819-p_19 healthy-6884-p_64 pah-6608-p_16 pah-6634-p_28 pah-6637-p_41 pah-6712-p_17 ph-lung-6689-p_29 ph-lung-6749-p_57 ph-lung-6754-p_20 ph-lung-6822-p_18 ph-lung-6898-p_8 ph-lung-6912-p_65 ph-lung-6932-p_21 ph-lung-6949-p_66	UP	ENSG00000043591|ADRB1 ENSG00000060709|RIMBP2 ENSG00000136932|TRMO ENSG00000229358|DPY19L1P1 ENSG00000281332|LINC00997		7089 14792 15132 15743 16125	0 4 11 12 13 15 22 31 33 38 39 41 44 45 46
131	1.4291601699489123	2	11	ENSG00000287763|ENSG00000287763 ENSG00000290671|PYY2	healthy-6620-p_6 healthy-6884-p_64 healthy-6960-p_32 pah-6660-p_13 pah-6890-p_47 ph-lung-6678-p_42 ph-lung-6748-p_43 ph-lung-6825-p_52 ph-lung-6885-p_58 ph-lung-6898-p_8 ph-lung-6952-p_36	UP	ENSG00000287763|ENSG00000287763 ENSG00000290671|PYY2		15960 16089	0 6 11 14 19 36 37 42 43 44 47
132	1.37260273028167	3	20	ENSG00000188536|HBA2 ENSG00000206172|HBA1 ENSG00000284606|ENSG00000284606	healthy-6655-p_27 healthy-6658-p_22 healthy-6688-p_56 healthy-6968-p_15 pah-6660-p_13 pah-6691-p_23 pah-6744-p_2 pah-6751-p_24 pah-6824-p_34 pah-6858-p_7 pah-6922-p_35 pah-6942-p_9 ph-lung-6662-p_55 ph-lung-6678-p_42 ph-lung-6689-p_29 ph-lung-6748-p_43 ph-lung-6754-p_20 ph-lung-6755-p_1 ph-lung-6885-p_58 ph-lung-6980-p_26	UP	ENSG00000188536|HBA2 ENSG00000206172|HBA1 ENSG00000284606|ENSG00000284606		10752 10811 15885	1 7 8 9 14 17 20 23 24 25 26 30 31 35 36 37 39 40 43 49
133	1.3676980148321296	2	19	ENSG00000105499|PLA2G4C ENSG00000260898|ADPGK-AS1	healthy-6655-p_27 healthy-6658-p_22 healthy-6667-p_49 healthy-6743-p_63 healthy-6960-p_32 pah-6691-p_23 pah-6803-p_50 pah-6824-p_34 pah-6863-p_3 pah-6875-p_60 pah-6890-p_47 pah-6922-p_35 ph-lung-6678-p_42 ph-lung-6689-p_29 ph-lung-6749-p_57 ph-lung-6754-p_20 ph-lung-6885-p_58 ph-lung-6898-p_8 ph-lung-6952-p_36	UP	ENSG00000105499|PLA2G4C ENSG00000260898|ADPGK-AS1		10578 13141	1 2 6 8 10 16 18 19 20 23 26 28 31 36 38 39 43 44 47
134	1.3512570001997986	2	24	ENSG00000189269|DRICH1 ENSG00000254528|FXYD6-AS1	healthy-6620-p_6 healthy-6743-p_63 healthy-6819-p_19 healthy-6935-p_54 healthy-6968-p_15 pah-6637-p_41 pah-6744-p_2 pah-6803-p_50 pah-6863-p_3 pah-6872-p_4 pah-6890-p_47 pah-6922-p_35 pah-6958-p_40 ph-lung-6748-p_43 ph-lung-6749-p_57 ph-lung-6754-p_20 ph-lung-6755-p_1 ph-lung-6822-p_18 ph-lung-6825-p_52 ph-lung-6898-p_8 ph-lung-6912-p_65 ph-lung-6932-p_21 ph-lung-6949-p_66 ph-lung-6952-p_36	UP	ENSG00000189269|DRICH1 ENSG00000254528|FXYD6-AS1		13717 13873	0 4 5 7 10 13 16 18 19 20 21 24 27 33 37 38 39 40 41 42 44 45 46 47
135	1.3421334722859657	4	10	ENSG00000121653|MAPK8IP1 ENSG00000162692|VCAM1 ENSG00000171772|SYCE1 ENSG00000247498|GPRC5D-AS1	healthy-6655-p_27 pah-6637-p_41 pah-6691-p_23 pah-6858-p_7 pah-6875-p_60 pah-6904-p_25 ph-lung-6662-p_55 ph-lung-6822-p_18 ph-lung-6898-p_8 ph-lung-6980-p_26	UP	ENSG00000121653|MAPK8IP1 ENSG00000162692|VCAM1 ENSG00000171772|SYCE1 ENSG00000247498|GPRC5D-AS1		11741 13366 14293 16115	1 13 17 23 28 29 35 41 44 49
136	1.3243436402569666	2	9	ENSG00000131459|GFPT2 ENSG00000256590|TRDV3	healthy-6688-p_56 pah-6637-p_41 pah-6660-p_13 pah-6691-p_23 pah-6858-p_7 ph-lung-6747-p_46 ph-lung-6912-p_65 ph-lung-6952-p_36 ph-lung-6980-p_26	UP	ENSG00000131459|GFPT2 ENSG00000256590|TRDV3		15870 16130	9 13 14 17 23 32 33 47 49
137	1.2970305893777356	7	20	ENSG00000165802|NSMF ENSG00000170956|CEACAM3 ENSG00000204428|LY6G5C ENSG00000204536|CCHCR1 ENSG00000270020|ENSG00000270020 ENSG00000278558|TMEM191B ENSG00000290425|PI4KAP1	healthy-6620-p_6 healthy-6655-p_27 healthy-6667-p_49 healthy-6688-p_56 healthy-6743-p_63 healthy-6818-p_59 healthy-6819-p_19 healthy-6884-p_64 healthy-6935-p_54 pah-6691-p_23 pah-6744-p_2 pah-6803-p_50 pah-6863-p_3 pah-6872-p_4 pah-6875-p_60 ph-lung-6662-p_55 ph-lung-6689-p_29 ph-lung-6754-p_20 ph-lung-6932-p_21 ph-lung-6949-p_66	UP	ENSG00000165802|NSMF ENSG00000170956|CEACAM3 ENSG00000204428|LY6G5C ENSG00000204536|CCHCR1 ENSG00000270020|ENSG00000270020 ENSG00000278558|TMEM191B ENSG00000290425|PI4KAP1		1599 5211 9883 10562 10877 13342 15295	0 1 2 3 4 5 9 10 11 16 18 23 24 27 28 31 35 39 45 46
138	1.2726767474568008	3	7	ENSG00000077063|CTTNBP2 ENSG00000166831|RBPMS2 ENSG00000177570|SAMD12	healthy-6884-p_64 healthy-6968-p_15 pah-6751-p_24 pah-6858-p_7 pah-6872-p_4 pah-6904-p_25 pah-6922-p_35	UP	ENSG00000077063|CTTNBP2 ENSG00000166831|RBPMS2 ENSG00000177570|SAMD12		12125 12369 15247	7 11 17 20 25 27 29
139	1.2156312093849309	2	23	ENSG00000128039|SRD5A3 ENSG00000204899|MZT1	healthy-6743-p_63 healthy-6818-p_59 healthy-6819-p_19 pah-6634-p_28 pah-6660-p_13 pah-6858-p_7 pah-6863-p_3 pah-6872-p_4 pah-6875-p_60 pah-6922-p_35 pah-6942-p_9 ph-lung-6747-p_46 ph-lung-6748-p_43 ph-lung-6749-p_57 ph-lung-6754-p_20 ph-lung-6822-p_18 ph-lung-6825-p_52 ph-lung-6898-p_8 ph-lung-6912-p_65 ph-lung-6932-p_21 ph-lung-6949-p_66 ph-lung-6952-p_36 ph-lung-6976-p_12	UP	ENSG00000128039|SRD5A3 ENSG00000204899|MZT1		9029 12814	3 4 10 14 17 18 20 22 27 28 30 32 33 37 38 39 41 42 44 45 46 47 48
140	1.2116985021078444	5	22	ENSG00000103056|SMPD3 ENSG00000160963|COL26A1 ENSG00000213058|ENSG00000213058 ENSG00000224114|ENSG00000224114 ENSG00000240356|RPL23AP7	healthy-6620-p_6 healthy-6655-p_27 healthy-6743-p_63 healthy-6818-p_59 healthy-6819-p_19 healthy-6884-p_64 healthy-6960-p_32 pah-6608-p_16 pah-6634-p_28 pah-6637-p_41 pah-6744-p_2 pah-6751-p_24 pah-6803-p_50 pah-6872-p_4 pah-6890-p_47 pah-6904-p_25 pah-6942-p_9 ph-lung-6689-p_29 ph-lung-6755-p_1 ph-lung-6898-p_8 ph-lung-6952-p_36 ph-lung-6976-p_12	UP	ENSG00000103056|SMPD3 ENSG00000160963|COL26A1 ENSG00000213058|ENSG00000213058 ENSG00000224114|ENSG00000224114 ENSG00000240356|RPL23AP7		9202 11727 13457 13899 14587	0 1 3 4 6 10 11 12 13 16 19 22 24 25 27 29 30 31 40 44 47 48
